,categoria,subcategoria,marca,nombre,descripcion,precio,numero_valoraciones,valoracion,num_variaciones,fecha_extraccion,url_producto,formato,responsabilidad,efecto_sombra,efecto_labios,efecto_mascara,formulacion,tipo_piel,cobertura,acabado,textura
509,Rostro,Colorete,Rare Beauty,Soft Pinch Luminous Powder Blush,Colorete en polvo,30.0,49,3.8,6,2025-05-06,https://www.sephora.es/p/soft-pinch-luminous-powder-blush---blush-en-polvo-P10057746.html,Standard,Vegano,,,,,Todo tipo de pieles,Media,,Crema
510,Ojos,Máscara de pestañas,Givenchy,L'Interdit,Mascara Couture Volume,40.0,309,4.6,0,2025-05-06,https://www.sephora.es/p/linterdit---mascara-720601.html,,,,,"Voluminizador, Efecto alargado, Fortalecedor",No comedogénico,Todo tipo de pieles,,,Liquido
511,Rostro,Iluminador,Fenty Beauty,Demi' Glow Light,Highlighter difusor,41.0,6,4.8,7,2025-05-06,https://www.sephora.es/p/demi-glow-light---highlighter-difusor-P10057486.html,Standard,,,,,,,,Brillante,Polvo compacto
512,Uñas,Top coat & base,Dior,Dior Base Vernis,Base de tratamiento protectora para las uñas,37.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/dior-base-vernis---base-de-tratamiento-protectora-para-las-unas-694243.html,,,,,,,,,Natural,Liquido
513,Uñas,Tratamiento para uñas,Dior,Crème Abricot,Tratamiento fortalecedor para las uñas,37.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/creme-abricot---tratamiento-fortalecedor-para-las-unas-694247.html,,,,,,,Todo tipo de pieles,,Natural,Crema
514,Uñas,Tratamiento para uñas,Dior,Huile Abricot,Sérum para uñas y cutículas,37.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/huile-abricot---serum-para-unas-y-cuticulas-694246.html,,,,,,,Todo tipo de pieles,,Natural,Aceite
515,Uñas,Quitaesmalte,Dior,Dissolvant Douceur,Quitaesmalte suave para las uñas,29.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/dissolvant-douceur---quitaesmalte-suave-para-las-unas-703852.html,,,,,,,,,Natural,Liquido
516,Uñas,Top coat & base,Dior,Dior Top Coat,Laca de fijación de secado ultrarrápido,37.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/dior-top-coat---laca-de-fijacion-de-secado-ultrarr%c3%a1pido-694244.html,,,,,,,,,Natural,Liquido
517,Ojos,Máscara de pestañas,Yves Saint Laurent,Lash Clash Waterproof Mascara,Máscara de Pestañas Negra,44.0,605,4.4,0,2025-05-06,https://www.sephora.es/p/lash-clash-waterproof-mascara---m%c3%a1scara-de-pestanas-negra-712290.html,Standard,,,,"Voluminizador, Efecto alargado, Efecto rizado",,,,,
518,Labios,Bálsamo labial,Yves Saint Laurent,Loveshine Candy Glaze,Pintalabios,45.0,188,4.5,11,2025-05-06,https://www.sephora.es/p/loveshine-candy-glaze---barra-de-labios-gloss-hidratante-P10034665.html,Standard,,,"Hidratante, Brillante / Glossy",,,Todo tipo de pieles,,,
519,Labios,Gloss/ Brillo labial,Haus Labs,PhD Hybrid Lip Glaze Plumping Gloss,Brillo de labios,25.99,5,3.6,6,2025-05-06,https://www.sephora.es/p/phd-hybrid-lip-glaze-plumping-gloss---brillo-de-labios-P10057409.html,Standard,"Vegano, Clean at Sephora",,"Brillante / Glossy, Voluminizador",,,Todo tipo de pieles,,,Liquido
520,Rostro,Polvos bronceadores,Haus Labs,Power Sculpt Velvet Bronzer with Fermented Arnica,Polvos de sol,39.99,0,0.0,4,2025-05-06,https://www.sephora.es/p/power-sculpt-velvet-bronzer-with-fermented-arnica---polvos-de-sol-P10057654.html,Standard,"Vegano, Clean at Sephora",,,,,,,,Polvo compacto
521,Labios,Barra de labios,Haus Labs,Monster Lip Crayon Vegan Lipstick and Lip Liner,Lápiz de labios,26.99,2,5.0,12,2025-05-06,https://www.sephora.es/p/monster-lip-crayon-vegan-lipstick-and-lip-liner---l%c3%a1piz-de-labios-P10050994.html,,"Vegano, Clean at Sephora",,,,,,,,
522,Ojos,Sombras de ojos,Haus Labs,"Hy-Power Eye, Cheek & Lip Pigment Paint",Crema pigmentada,26.99,0,0.0,0,2025-05-06,https://www.sephora.es/p/hy-power-eye-cheek-lip-pigment-paint---crema-pigmentada-689233.html,Standard,"Vegano, Clean at Sephora",Mate,,,,,,,"Liquido, Crema"
523,Labios,Gloss/ Brillo labial,Haus Labs,Mini PhD Lip Oil,Aceite híbrido para labios,15.99,0,0.0,3,2025-05-06,https://www.sephora.es/p/mini-phd-lip-oil---aceite-hibrido-para-labios-P10057410.html,Standard,"Vegano, Clean at Sephora",,"Hidratante, Brillante / Glossy",,,Todo tipo de pieles,,,Aceite
524,Pinceles & accesorios,Esponja de maquillaje,Haus Labs,Dual-Ended Multi-Purpose Brush,Brocha vegana,43.99,0,0.0,0,2025-05-06,https://www.sephora.es/p/dual-ended-multi-purpose-brush---brocha-vegana-721175.html,Standard,"Vegano, Clean at Sephora",,,,,,,,
525,Labios,Gloss/ Brillo labial,Haus Labs,Mini PhD Lip Oil Duo,Aceite híbrido para labios,24.99,6,3.8,0,2025-05-06,https://www.sephora.es/p/mini-phd-lip-oil-duo---aceite-hibrido-para-labios-724381.html,Set/Estuche/Kit,,,Hidratante,,,,,,Aceite
526,Pinceles & accesorios,Brocha rostro,Haus Labs,Cruelty-Free Concealer Brush,Brocha corrector,29.99,3,5.0,0,2025-05-06,https://www.sephora.es/p/cruelty-free-concealer-brush---brocha-corrector-706780.html,Standard,Clean at Sephora,,,,,,Media,,
527,Ojos,Eyeliner,Haus Labs,Optic Intensity Eco Gel Eyeliner Pencil,Lápiz de ojos,24.99,4,3.0,11,2025-05-06,https://www.sephora.es/p/optic-intensity-eco-gel-eyeliner-pencil---l%c3%a1piz-de-ojos-P10050995.html,,"Vegano, Clean at Sephora",,,,,,,,
528,Rostro,Polvos sueltos,Haus Labs,Bio-Blurring Talc-Free Loose Setting Powder,Polvos sueltos fijadores,41.99,0,0.0,0,2025-05-06,https://www.sephora.es/p/bio-blurring-talc-free-loose-setting-powder---polvos-libres-fijadores-689100.html,,"Vegano, Clean at Sephora",,,,,,,,
529,Pinceles & accesorios,Brocha rostro,Haus Labs,Cruelty-Free Foundation Brush,Brocha de maquillaje,40.99,1,5.0,0,2025-05-06,https://www.sephora.es/p/cruelty-free-foundation-brush---brocha-de-maquillaje-689234.html,Standard,Clean at Sephora,,,,,Piel normal,,,
530,Labios,Bálsamo labial,Guerlain,KissKiss Bee Glow Oil,Aceite de labios,45.0,46,4.6,6,2025-05-06,https://www.sephora.es/p/kisskiss-bee-glow-oil---aceite-de-labios-P10056829.html,Standard,,,"Hidratante, Voluminizador",,,"Todo tipo de pieles, Piel normal, Piel mixta, Piel seca",Ligera,"Natural, Brillante",
531,Rostro,Polvos bronceadores,Guerlain,Terracotta Light,Los polvos iluminadores efecto buena cara natural Recarga,34.0,0,0.0,5,2025-05-06,https://www.sephora.es/p/terracotta-light---los-polvos-iluminadores-efecto-buena-cara-natural-recarga-P10056843.html,Standard,,,,,,,,Mate,Polvo compacto
532,Rostro,Polvos bronceadores,Guerlain,Terracotta,Los polvos bronceadores Recarga,34.0,0,0.0,6,2025-05-06,https://www.sephora.es/p/terracotta---los-polvos-bronceadores-recarga-P10056842.html,Standard,,,,,,,,Mate,Polvo compacto
533,Cejas,Lápiz & polvo para cejas,Guerlain,Brow G,Lápiz para cejas Alta precisión y larga duración,32.0,0,0.0,5,2025-05-06,https://www.sephora.es/p/brow-g---l%c3%a1piz-para-cejas-alta-precision-y-larga-duracion-P1000202875.html,Stick,,,,,,,,Natural,
534,Ojos,Máscara de pestañas,Guerlain,Noir G Bee Primer,Máscara de pestañas base-sérum enriquecida con miel,45.0,2,5.0,0,2025-05-06,https://www.sephora.es/p/noir-g-bee-primer---m%c3%a1scara-de-pestanas-base-serum-enriquecida-con-miel-720083.html,,,,,"Voluminizador, Efecto alargado, Efecto rizado",,,,,Liquido
535,Ojos,Eyeliner,Guerlain,Noir G,Eyeliner Graphique de horas de duración 24h - resistente al agua,43.0,23,4.3,0,2025-05-06,https://www.sephora.es/p/noir-g---eyeliner-graphique-de-horas-de-duracion-24h---resistente-al-agua-720082.html,,,,,"Impermeable, Natural",,,,Mate,
536,Labios,Voluminizador labios,Milk Makeup,Kush Lip Oil,Aceite labial hidratante con color,28.99,2,5.0,6,2025-05-06,https://www.sephora.es/p/kush-lip-oil---aceite-labial-hidratante-con-color-P10056689.html,"Standard, Formato viaje","Vegano, Naturality",,,,,,,Natural,Crema
537,Rostro,Primer & spray fijador,Milk Makeup,Cloud Glow Primer,Base de maquillaje iluminadora en espuma,28.99,0,0.0,0,2025-05-06,https://www.sephora.es/p/cloud-glow-primer---base-de-maquillaje-iluminadora-en-espuma-715723.html,,"Vegano, Naturality",,,,,"Todo tipo de pieles, Piel normal, Piel mixta, Piel seca, Piel grasa, Piel sensible",,,
538,Rostro,Base de maquillaje,Ilia,Skin Rewind Complexion Stick,Stick para la tez,57.0,9,4.8,41,2025-05-06,https://www.sephora.es/p/skin-rewind-complexion-stick---stick-para-la-tez-P10057160.html,Standard,"Vegano, Clean at Sephora",,,,,,,Natural,
539,Rostro,Base de maquillaje,Sisley,Phyto-Teint Perfection,High-coverage mattifying foundation,99.0,27,4.5,20,2025-05-06,https://www.sephora.es/p/phyto-teint-perfection---base-de-maquillaje-cubriente-matificante-P10057041.html,Standard,,,,,,Todo tipo de pieles,"Total, Media",Mate,Liquido
